Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,PM200M00 210 Wp,210,"30,6","8,92","24,3","8,65"
N/A,PM200M00 215 Wp,215,"30,7",9,"24,4","8,82"
N/A,PM200M00 220 Wp,220,"30,8","9,08","24,5","8,99"
N/A,PM200M00_190,200,"36,1","7,7","28,3","7,07"
N/A,PM245P00 240 Wp,240,37,"8,58","29,9","8,03"
N/A,PM245P00 245 Wp,245,"37,2","8,64","30,3","8,09"
N/A,PM245P00 250 Wp,250,"37,4","8,69","30,6","8,17"
N/A,PM245P00 255 Wp,255,"37,6","8,76","30,8","8,28"
N/A,PM245P00 260 Wp,260,"37,7","8,83","31,2","8,34"
N/A,PM245P01 245 Wp,245,"37,2","8,64","30,3","8,09"
N/A,PM250M01 255 Wp,255,"37,8","8,94","30,3","8,42"
N/A,PM250M01 260 Wp,260,38,"8,96","30,8","8,45"
N/A,PM250M01 265 Wp,265,"38,2","8,98","31,3","8,47"
N/A,PM250M01 270 Wp,270,"38,5","9,01","31,8","8,5"
N/A,PM250M01 275 Wp,275,"38,7","9,03","32,3","8,52"
N/A,PM250M01 280 Wp,280,"38,9","9,06","32,7","8,57"
N/A,PM318B01 315 Wp,315,"64,6","6,14","54,7","5,76"
N/A,PM318B01 320 Wp,320,"64,8","6,27","54,7","5,86"
N/A,PM318B01 325 Wp,325,"64,9","6,39","54,7","5,94"
N/A,PM318B01 327 Wp,327,"64,9","6,46","54,7","5,98"
N/A,PNX 230,230,36,"8,5",29,"7,94"
N/A,PNX 240,240,36,"8,6",29,"8,1"
N/A,PNX 250,250,43,"7,5",35,"7,15"
N/A,Poly 220W ,220,37,"8,4",29,"7,59"
N/A,Poly 275wp 12BB,275,"38,45","9,52","31,12","8,85"
N/A,Poly 280wp 12BB,280,"38,85","9,67","31,16","8,99"
N/A,Polycrystalline Series I 170 W,170,"31,35","8,34","25,7","6,61"
N/A,Polycrystalline Series I 180 W,180,"31,48","8,29","25,8","6,98"
N/A,Polycrystalline Series I 190 W,190,"32,09","8,34","26,3","7,22"
N/A,Polycrystalline Series II 200 W,200,36,"7,75","28,7","6,97"
N/A,Polycrystalline Series II 210 W,210,"36,4","7,86","29,2","7,19"
N/A,Polycrystalline Series II 220 W,220,"36,8",8,"29,8","7,39"
N/A,Polycrystalline Series II 230 W,230,37,"8,18",30,"7,66"
N/A,Polycrystalline Series II 240 W,240,"37,5","8,38","30,6","7,84"
N/A,Polycrystalline Series II 250 W,250,"42,9","8,57","34,6","7,23"
N/A,Polycrystalline Series III 260 W,260,"43,03","8,51","34,7","7,49"
N/A,Polycrystalline Series III 270 W,270,"43,65","8,59","35,2","7,67"
N/A,Polycrystalline Series III 280 W,280,"43,77","8,76","35,3","7,93"
N/A,PolySol 215 TA,215,"36,3","8,1","29,1","7,39"
N/A,PolySol 215 TT,215,"36,3","8,1","29,1","7,39"
N/A,PolySol 220 TA,220,"36,4","8,15","29,2","7,54"
N/A,PolySol 220 TT,220,"36,4","8,15","29,2","7,54"
N/A,PolySol 225 TA,225,"36,4","8,15","29,2","7,54"
N/A,PolySol 225 TT,225,"36,5","8,23","29,3","7,69"
N/A,PolySol 230 LS,230,"36,7","8,72","29,7","7,74"
N/A,PolySol 230 TT,230,"36,6","8,28","29,4","7,83"
N/A,PolySol 235 TT,235,"36,7","8,34","29,5","7,97"
N/A,power 65,65,40,"2,76","27,9","2,33"
N/A,Power Sol Poly 240,240,36,"8,96",30,8
N/A,PowerFLEX-1BTM-250,250,"65,4","6,2","48,6","5,1"
N/A,PowerFLEX-1BTM-275,275,"67,6","6,3","51,5","5,3"
N/A,PowerFLEX-1BTM-300,300,"69,7","6,4","54,3","5,5"
N/A,PowerFLEX-2BTM-100,100,"23,3","6,4","17,8","5,6"
N/A,PowerFLEX-2BTM-90,90,22,"6,3","16,5","5,4"
N/A,PowerFLEX-4BTM-165,165,"43,6","6,2","32,1","5,1"
N/A,PowerFLEX-4BTM-185,185,"45,6","6,3","34,7","5,3"
N/A,PowerFLEX-4BTM-200,200,"46,4","6,4","36,2","5,5"
N/A,PowerLine 245 Wp,245,"36,98","8,68","30,58","8,09"
N/A,PowerLine 245 Wp black,245,"36,98","8,68","30,58","8,09"
N/A,PowerLine 250 Wp,250,"37,04","8,71","31,14","8,11"
N/A,PowerLine 250 Wp black,250,"37,04","8,71","31,14","8,11"
N/A,PowerLine 255 Wp,255,"37,28","8,79","31,27","8,21"
N/A,PowerLine 255 Wp black,255,"37,28","8,79","31,27","8,21"
N/A,PowerLine 260 Wp,260,"38,16","8,93","31,45","8,39"
N/A,PowerLine 260 Wp black,260,"38,16","8,93","31,45","8,39"
N/A,PowerMax 100,100,56,"3,1","39,5","2,54"
N/A,PowerMax 110,110,"56,6","3,11","42,3","2,61"
N/A,PowerMax 110 FB,110,"58,6","3,18","41,4","2,66"
N/A,PowerMax 115 FB,115,"59,1","3,18","42,2","2,73"
N/A,PowerMax 120,120,"58,5","3,12",46,"2,61"
N/A,PowerMax 120,120,"57,4","3,13","44,9","2,68"
N/A,PowerMax 120 FB,120,"59,7","3,18","43,1","2,79"
N/A,PowerMax 125 FB,125,"60,2","3,19",44,"2,85"
N/A,PowerMax 130,130,"58,1","3,19","47,8","2,72"
N/A,PowerMax 130 FB,130,"60,7","3,19","44,8","2,91"
N/A,PowerMax 135 FB,135,"61,3","3,2","45,6","2,97"
N/A,PowerMax 135 FB,135,"61,3","3,2","45,6","2,97"
N/A,PowerMax 3.5 120W,120,"57,4","3,35","41,2","2,92"
N/A,PowerMax 3.5 125W,125,58,"3,35","42,4","2,95"
N/A,PowerMax 3.5 130W,130,"58,6","3,35","43,7","2,98"
N/A,PowerMax 3.5 135W,135,"59,2","3,35","44,9","3,01"
N/A,PowerMax 3.5 140W,140,"59,8","3,36","46,1","3,04"
N/A,PowerMax 4.0 135W,135,"78,9","2,57","59,7","2,26"
N/A,PowerMax 4.0 140W,140,"79,5","2,58","60,8","2,3"
N/A,PowerMax 4.0 145W,145,"80,1","2,59","61,9","2,34"
N/A,PowerMax 4.0 150W,150,"80,7","2,59",63,"2,38"
N/A,PowerMax 4.6 145W,145,"89,4","2,43","69,5","2,08"
N/A,PowerMax 4.6 150W,150,"89,8","2,44","70,4","2,13"
N/A,PowerMax 4.6 155W,155,"90,1","2,45","71,3","2,17"
N/A,PowerMax 4.6 160W,160,"90,5","2,46","72,2","2,21"
N/A,Powermax Plus 150-C,150,"42,6","5,1",33,"4,55"
N/A,Powermax Plus 160-C,160,"43,1","5,2",34,"4,71"
N/A,Powermax Plus 25,25,"21,3","1,7","16,7","1,5"
N/A,Powermax Plus 40,39,"21,6","2,6",17,"2,3"
N/A,Powermax Plus 50,51,"21,3","3,4",17,3
N/A,Powermax Plus 80-P,80,"21,6","5,2",17,"4,7"
N/A,PowerMax SMART 105 (2013),105,56,"3,22",39,"2,7"
N/A,PowerMax SMART 110,110,"56,6","3,1","41,4","2,65"
N/A,PowerMax SMART 110 (2013),110,"56,7","3,23","40,2","2,74"
N/A,PowerMax SMART 115,115,"57,5","3,1","42,7","2,69"
N/A,PowerMax SMART 115 (2013),115,"57,4","3,25","41,4","2,78"
N/A,PowerMax SMART 120,120,"58,5","3,11","43,9","2,73"
N/A,PowerMax SMART 120 (2013),120,"58,1","3,26","42,5","2,82"
N/A,PowerMax SMART 125,125,"59,5","3,12","45,1","2,77"
N/A,PowerMax SMART 125 (2013),125,"58,8","3,27","43,7","2,86"
N/A,PowerMax SMART 130,130,"60,5","3,13","46,3","2,81"
N/A,PowerMax SMART 130 (2013),130,"59,5","3,28","44,9","2,9"
N/A,PowerMax SMART 135,135,"61,5","3,14","47,4","2,84"
N/A,PowerMax SMART 135 (2013),135,"60,2","3,29","46,1","2,94"
N/A,PowerMax STRONG 110,110,"56,9","3,19","40,4","2,72"
N/A,PowerMax STRONG 115,115,"57,7","3,2","41,6","2,76"
N/A,PowerMax STRONG 115 (2013),115,"57,5","3,19","41,7","2,77"
N/A,PowerMax STRONG 120,120,"58,5","3,21","42,8","2,8"
N/A,PowerMax STRONG 120 (2013),120,"58,3","3,22","42,8","2,81"
N/A,PowerMax STRONG 125,125,"59,3","3,22",44,"2,84"
N/A,PowerMax STRONG 125 (2013),125,"59,1","3,24","43,8","2,85"
N/A,PowerMax STRONG 130,130,"60,2","3,23","45,3","2,87"
N/A,PowerMax STRONG 130 (2013),130,"59,9","3,26","44,9","2,9"
N/A,PowerMax STRONG 135,135,"61,1","3,24","46,6","2,9"
N/A,PowerMax STRONG 135 (2013),135,"60,7","3,29","45,9","2,94"
N/A,PowerMax STRONG 140 (2013),140,"61,5","3,31",47,"2,98"
N/A,Powermax Ultra 145-C,145,"44,3","5,34","34,2","4,25"
N/A,Powermax Ultra 155-C,155,"44,4","5,37","34,6","4,49"
N/A,Powermax Ultra 165-C,165,"44,5","5,4",35,"4,72"
N/A,Powermax Ultra 175-C,175,"44,6","5,43","35,4","4,95"
N/A,PowerPly LPP400,400,"98,9","5,33",82,"4,88"
N/A,Powertec 170 / 5 MA,170,"43,6","5,14","35,2","4,83"
N/A,Powertec 170 / 5 ME,170,"43,3",5,"36,1","4,7"
N/A,Powertec 175 / 5 MA,175,"43,8","5,21","35,8","4,91"
N/A,Powertec 175 / 5 ME,175,"43,7","5,1","36,5","4,8"
N/A,Powertec 175 / 5 MG,175,"44,2","5,25","35,2","4,97"
N/A,Powertec 180 / 5 MA,180,"44,2","5,3","36,1",5
N/A,Powertec 180 / 5 ME,180,"44,3","5,2","36,7","4,9"
N/A,Powertec 180 / 5 MG,180,"44,4","5,35","35,4","5,08"
N/A,Powertec 180 / 5 MP,180,"43,5","5,7","36,5","4,95"
N/A,Powertec 210 / 6 PL,210,"36,06","7,94","28,34","7,42"
N/A,Powertec 220 / 6 PL,220,"36,46","8,12","29,07","7,57"
N/A,Powertec 230 / 6 PL,230,"36,86","8,3","29,81","7,72"
N/A,Powertec Plus 170 / 5 MG,170,44,"5,15",35,"4,86"
N/A,Powertec Plus 175 / 6 PL,175,"29,13","8,1","23,19","7,55"
N/A,Powertec Plus 230 / 5 MJ,230,59,"5,03","49,2","4,67"
N/A,Powertec Plus 230 / 6 PL,230,"36,86","8,3","29,81","7,72"
N/A,POWERTEC PLUS 265 / 5 MRB,265,61,"5,78","49,5","5,35"
N/A,PPV-216M6,216,37,"8,1","29,2","7,4"
N/A,PPV-216M6,216,"36,1","7,86","29,6","7,29"
N/A,PPV-222M6,222,"36,97",8,"29,87","7,44"
N/A,PPV-230M6,230,"37,36","8,15","30,15","7,63"
N/A,PR4530P-170,"180,41","27,94","8,22","23,4","7,71"
N/A,PR4530P-175,"184,55","28,17","8,3","23,63","7,81"
N/A,Premium  Incell L mono black - 260,260,"37,95","8,9","31,55","8,2"
N/A,Premium  Incell L mono black - 265,265,38,9,"31,6","8,35"
N/A,Premium  Incell L poly 245,245,"37,55","8,7","29,85","8,2"
N/A,Premium  Incell L poly 255,255,"37,65","8,9","29,95","8,5"
N/A,Premium  Incell XM mono black - 210,210,"30,3","8,74","25,6","8,2"
N/A,PREMIUM 160W/40p,160,"25,1","8,42","21,08","7,67"
N/A,PREMIUM 165W/40m,165,"24,9","8,54","20,7","7,97"
N/A,PREMIUM 165W/40p,165,"25,2","8,49","21,2","7,87"
N/A,PREMIUM 170W/40m,170,"25,1","8,59","20,8","8,26"
N/A,PREMIUM 190W/48p,190,30,"8,38","25,2","7,61"
N/A,PREMIUM 195W/48p,195,"30,2","8,45","25,4","7,73"
N/A,PREMIUM 200W/48m,200,30,"8,58","24,7","8,15"
N/A,PREMIUM 205W/48m,205,"30,2","8,64","24,7","8,35"
N/A,PREMIUM 240W/60p,240,"37,7","8,3","30,4","7,9"
N/A,PREMIUM 245W/60p,245,"37,5","8,37","31,44","7,89"
N/A,PREMIUM 245W/60p1,245,"37,5","8,37","31,44","7,89"
N/A,PREMIUM 250W/60m,250,"37,4","8,58","30,9","8,15"
N/A,PREMIUM 250W/60p,250,"37,86","8,46","31,8","7,94"
N/A,PREMIUM 250W/60p1,250,"37,86","8,46","31,8","7,94"
N/A,PREMIUM 255W/60m,255,"37,92","8,6","30,9","8,36"
N/A,PREMIUM 255W/60m1,255,"37,92","8,6","30,9","8,36"
N/A,PREMIUM 260W/60m,255,"38,04","8,65","30,92","8,46"
N/A,PREMIUM 260W/60m1,260,"38,04","8,65","30,92","8,46"
N/A,Premium incell L mono - 235,235,"37,2","8,5","29,7","7,9"
N/A,Premium incell L mono - 245,245,"37,4","8,7","29,9","8,1"
N/A,Premium incell L mono 265,265,"38,1","9,2","30,85","8,6"
N/A,Premium incell L mono 270,270,"38,3","9,4","31,05","8,7"
N/A,Premium incell L mono 275,275,"38,5","9,5","31,25","8,8"
N/A,Premium incell L mono 280,280,"38,6","9,7","31,45",9
N/A,Premium incell L mono 285,285,"38,8","9,9","31,65","9,2"
N/A,Premium incell L mono 300,300,"39,08","9,75","32,3","9,29"
N/A,Premium Incell L mono black - 265,265,38,9,"31,6","8,35"
N/A,Premium incell L poly - 200,200,35,"7,77","27,6","7,27"
N/A,Premium incell L poly - 230,230,"37,4","8,4","29,6","7,8"
N/A,Premium incell L poly 245,245,"37,28","8,78","29,9","8,21"
N/A,Premium incell L poly 250,250,"37,49","8,86","29,97","8,35"
N/A,Premium incell L poly 255,255,"37,69","8,94","30,08","8,48"
N/A,Premium incell L poly 260,260,"37,9","9,02","30,18","8,62"
N/A,Premium incell L poly 265,265,"38,1","9,1","30,29","8,75"
N/A,Premium incell L poly 270,270,"38,31","9,18","30,39","8,88"
N/A,Premium incell S poly - 125,125,"21,53","7,84","17,5","7,14"
N/A,Premium incell S poly - 135,135,"21,86","8,08","17,94","7,52"
N/A,"Premium incell XM m, bl, - 180",180,30,"8,5","23,65","7,65"
N/A,"Premium incell XM m, bl, - 185",185,"30,05","8,55","23,95","7,75"
N/A,"Premium incell XM m, bl, - 187,5","187,5","30,1","8,6","24,15","7,77"
N/A,"Premium incell XM m, bl, - 190",190,"30,14","8,62","24,4","7,8"
N/A,"Premium incell XM m, bl, - 195",195,"30,2","8,65","24,7","7,9"
N/A,"Premium incell XM m, bl, - 200",200,"30,25","8,7",25,8
N/A,Premium L mono - 225,225,37,"8,3","29,5","7,63"
N/A,Premium L mono - 230,230,"37,1","8,4","29,6","7,75"
N/A,Premium L mono - 235,235,"37,2","8,5","29,7","7,9"
N/A,Premium L mono - 240,240,"37,3","8,6","29,8",8
N/A,Premium L mono - 245,245,"37,3","8,7","30,2","8,1"
N/A,Premium L mono - 250,250,"37,5","8,8","30,5","8,2"
N/A,Premium L mono - 255,255,"37,8","8,87","30,7","8,35"
N/A,Premium L mono - 260,260,38,"8,92","30,85","8,45"
N/A,Premium L mono 265,265,"38,1","9,2","30,85","8,6"
N/A,Premium L mono 270,270,"38,3","9,4","31,05","8,7"
N/A,Premium L mono 275,275,"38,5","9,5","31,25","8,8"
N/A,Premium L mono 280,280,"38,6","9,6","31,45",9
N/A,Premium L mono 285,285,"38,8","9,7","31,65","9,1"
N/A,Premium L mono 290,290,"39,39","9,77","31,72","9,19"
N/A,Premium L mono 295,295,"39,59","9,82","32,04","9,22"
N/A,Premium L mono 300,300,"39,08","9,75","32,3","9,29"
N/A,Premium L mono Black - 260,260,"37,95","8,9","31,55","8,2"
N/A,Premium L mono black 270,270,"38,3","9,4","31,05","8,7"
N/A,Premium L mono black 275,275,"38,5","9,5","31,25","8,8"
N/A,Premium L mono black 280,280,"38,6","9,7","31,45",9
N/A,Premium L mono black 285,285,"38,8","9,7","31,65","9,1"
N/A,Premium L mono black 290,290,"39,39","9,77","31,72","9,19"
N/A,Premium L mono black 295,295,"39,59","9,82","32,04","9,22"
N/A,Premium L poly - 215,215,36,"8,1","28,3","7,6"
N/A,Premium L poly - 220,220,"36,4","8,15","28,6","7,7"
N/A,Premium L poly - 225,225,"36,9","8,3","29,1","7,75"
N/A,Premium L poly - 225,225,"36,9","8,3","29,1","7,75"
N/A,Premium L poly - 230,230,"37,4","8,4","29,6","7,8"
N/A,Premium L poly - 235,235,"37,4","8,5","29,7","7,94"
N/A,Premium L poly - 240,240,"37,5","8,6","29,8","8,05"
N/A,Premium L poly 245,245,"37,28","8,78","29,9","8,21"
N/A,Premium L poly 245,245,"37,55","8,7","29,85","8,2"
N/A,Premium L poly 250,250,"37,6","8,8","29,9","8,35"
N/A,Premium L poly 250,250,"37,59","8,86","30,32","8,35"
N/A,Premium L poly 255,255,"37,79","8,94","30,58","8,48"
N/A,Premium L poly 260,260,"37,9","9,02","30,79","8,62"
N/A,Premium L poly 260,260,"37,7",9,30,"8,67"
N/A,Premium L poly 265,265,"37,75","9,1","30,05","8,82"
N/A,Premium L poly 265,265,"38,16","9,1","31,1","8,75"
N/A,Premium L poly 270,275,"38,22","9,18","31,14","8,88"
N/A,Premium L poly 275,275,"38,42","9,26","31,25","9,02"
N/A,Premium L poly 285,285,"39,21","9,51","31,25","9,12"
N/A,Premium L poly 290,290,"39,42","9,6","31,49","9,21"
N/A,Premium Line 195 W,195,45,"5,45","38,3","5,09"
N/A,Premium Line 250 W-60 Mono ,250,"37,85","8,33","31,17","8,03"
N/A,Premium Line 260 W - 60 Mono,270,"38,82","8,71","32,2","8,34"
N/A,Premium Line 300 W,300,"44,62","8,56","37,62","7,98"
N/A,Premium Line 310 W,310,"45,12","8,82","37,62","8,25"
N/A,Premium Line M190W72,190,"45,05","5,74","36,5","5,21"
N/A,Premium Line M195W72,195,"45,3","5,73","36,35","5,36"
N/A,Premium M mono - 170,170,"44,6","5,12","36,5","4,67"
N/A,Premium M mono - 175,175,"44,7","5,26","36,7","4,75"
N/A,Premium M mono - 180,180,"44,8","5,3","36,8","4,9"
N/A,Premium M mono - 185,185,"44,9","5,35","36,95",5
N/A,Premium S mono - 125,125,"21,65","7,69","17,5","7,14"
N/A,Premium S mono - 130,130,"22,09","7,81","17,72","7,34"
N/A,Premium S mono - 135,135,"22,4","7,93","17,94","7,52"
N/A,Premium S poly - 125,125,"21,53","7,84","17,5","7,14"
N/A,Premium S poly - 130,130,"21,69","7,96","17,72","7,34"
N/A,Premium S poly - 135,135,"21,86","8,08","17,94","7,52"
N/A,Premium XM mono 205,205,"30,3","8,9","24,42","8,4"
N/A,Premium XM mono 205,205,"30,3","8,9","24,42","8,4"
N/A,Premium XM mono 210,210,"30,44","9,1","24,6","8,55"
N/A,Premium XM mono 215,215,"30,62","9,4","24,8","8,7"
N/A,Premium XM mono 220,220,"30,8","9,5",25,"8,8"
N/A,Premium XM mono black - 180,180,30,"8,5","23,65","7,65"
N/A,Premium XM mono black - 185,185,"30,05","8,55","23,95","7,75"
N/A,"Premium XM mono black - 187,5","187,5","30,1","8,6","24,15","7,77"
N/A,Premium XM mono black - 190,190,"30,14","8,62","24,4","7,8"
N/A,Premium XM mono black - 200,200,"30,25","8,7",25,8
N/A,Premium XM mono black - 205,205,"30,25","8,7","25,3","8,1"
N/A,Premium XM poly 195,195,"30,04","8,7","23,9","8,2"
N/A,Premium XM poly 200,200,"30,08","8,8","23,96","8,35"
N/A,Premium XM poly 200,200,30,"8,86",24,"8,35"
N/A,Premium XM poly 205,205,"30,14","8,94","24,2","8,48"
N/A,Premium XM poly 205,205,"30,12","8,95","24,02","8,55"
N/A,Premium XM poly 210,210,"30,16","9,1","24,05","8,75"
N/A,Premium XM poly 210,210,"30,31","9,02","24,4","8,62"
N/A,PremiumLine 190 Wp,190,"31,15","8,28","24,77","7,68"
N/A,PremiumLine 195 Wp,195,"31,05","8,1","25,5","7,54"
N/A,PremiumLine 200 Wp,200,36,"7,92","28,98","6,93"
N/A,PremiumLine 230 Wp,230,"37,41","8,38","29,85","7,71"
N/A,PremiumLine 235 Wp,235,"37,32","8,15","31,05","7,57"
N/A,PremiumLine 240 Wp,240,"37,41","8,24","31,23","7,69"
N/A,Preview ASWS-380-MH120-SW,380,"41,7","11,89","34,6","10,99"
N/A,PRIME 245,245,"37,54","8,68","30,12","8,14"
N/A,PRIME 245 framed,245,"37,54","8,68","30,12","8,14"
N/A,PRIME 250,250,"37,57","8,87","30,14","8,3"
N/A,PRIME 250 framed,250,"37,57","8,87","30,14","8,3"
N/A,PRIME 255,255,"37,63","9,04","30,17","8,46"
N/A,PRIME 255 framed,255,"37,63","9,04","30,17","8,46"
N/A,PRIME 260,260,"37,66","9,21","30,19","8,62"
N/A,PRIME 260 framed,260,"37,66","9,21","30,19","8,62"
N/A,PRIME 265,265,"38,43","9,12","30,78","8,61"
N/A,PRIME 265 framed,265,"38,43","9,12","30,78","8,62"
N/A,PRIME 270,270,"38,47","9,29","30,82","8,77"
N/A,PRIME 270 framed,270,"38,47","9,29","30,82","8,77"
N/A,PRIME 280,280,"45,44","8,07","36,34","7,71"
N/A,PRIME 280 framed,280,"45,44","8,07","36,34","7,71"
N/A,PRIME 285,285,"45,48","8,2","36,41","7,83"
N/A,PRIME 285 framed,285,"45,48","8,2","36,41","7,83"
N/A,PRIME 290,290,"45,52","8,35","36,49","7,95"
N/A,PRIME 290 framed,290,"45,52","8,35","36,49","7,95"
N/A,PRIME 295,295,"45,55","8,49","36,56","8,07"
N/A,PRIME 295 framed,295,"45,55","8,49","36,56","8,07"
N/A,PRIME 300,300,"45,59","8,64","36,64","8,19"
N/A,PRIME 300 framed,300,"45,59","8,64","36,64","8,19"
N/A,PRIME 305,305,"45,63","8,78","36,71","8,31"
N/A,PRIME 305 framed,305,"45,63","8,78","36,71","8,31"
N/A,PRIME 310,310,"45,65","8,93","36,79","8,43"
N/A,PRIME 310 framed,310,"45,65","8,93","36,79","8,43"
N/A,PRO-M200,200,"44,95","5,65","36,95","5,42"
N/A,Pro 60 A poly 255,255,"37,88","8,9","30,1","8,48"
N/A,Pro 60 A poly 265,265,"38,22","9,1","30,68","8,86"
N/A,Pro 60 A poly 270,270,"38,4","9,21","30,72","8,92"
N/A,Pro 60 S poly 255,255,"37,47","8,99","30,45","8,37"
N/A,Pro 60 S poly 260,260,"37,7","9,07","30,74","8,46"
N/A,Pro 60 S poly 265,265,"37,93","9,15","31,03","8,54"
N/A,Pro 60 Y poly 250,250,"37,3","8,46","29,7","8,42"
N/A,Pro 60 Y poly 255,255,"37,6","8,93",30,"8,5"
N/A,Pro 60 Y poly 260,260,38,"8,98","30,2","8,6"
N/A,Pro 60 Y poly 265,265,"38,1","9,24","30,7","8,64"
N/A,pro Casa 160,160,"28,4","8,04","22,8","7,02"
N/A,Pro L3 mono -250,250,"37,92","8,62","30,96","8,07"
N/A,Pro L3 Mono 255,255,"38,1","8,64","31,16","8,18"
N/A,Pro L3 Mono 260,260,"38,28","8,67","31,36","8,29"
N/A,Pro L3 poly -240,240,"37,45","8,5","29,58","8,1"
N/A,PRO L3 poly 245,245,"37,62","8,59","29,79","8,21"
N/A,PRO L3 poly 250,250,"37,79","8,67",30,"8,32"
N/A,Professional 265P60 black,265,"38,25","9,27","30,8","8,65"
N/A,Professional 265P60 Low Carbon,265,"38,25","9,27","30,8","8,65"
N/A,Professional 265P60 smart,265,"38,25","9,27","30,8","8,65"
N/A,Professional 270P60 black,270,"38,42","9,36","31,03","8,74"
N/A,Professional 270P60 Low Carbon,270,"38,42","9,36","31,03","8,74"
N/A,Professional 270P60 smart,270,"38,42","9,36","31,03","8,74"
N/A,Professional 275P60 black,275,"38,6","9,44","31,26","8,82"
N/A,Professional 275P60 Low Carbon,275,"38,6","9,44","31,26","8,82"
N/A,Professional 275P60 smart,275,"38,6","9,44","31,26","8,82"
N/A,Professional 280M60 black,280,"39,16","9,46","31,64","8,87"
N/A,Professional 280M60 Low Carbon,280,"39,16","9,46","31,64","8,87"
N/A,Professional 280M60 smart,280,"39,16","9,46","31,64","8,87"
N/A,Professional 280P60 black,280,"38,74","9,53","31,47","8,91"
N/A,Professional 280P60 Low Carbon,280,"38,74","9,53","31,47","8,91"
N/A,Professional 280P60 smart,280,"38,74","9,53","31,47","8,91"
N/A,Professional 285M60 black,285,"39,33","9,54","32,01","8,9"
N/A,Professional 285M60 Low Carbon,285,"39,33","9,54","32,01","8,9"
N/A,Professional 285M60 smart,285,"39,33","9,54","32,01","8,9"
N/A,Professional 290M60 black,290,"39,48","9,63","32,37","8,95"
N/A,Professional 290M60 Low Carbon,290,"39,48","9,63","32,37","8,95"
N/A,Professional 290M60 smart,290,"39,48","9,63","32,37","8,95"
N/A,Professional 295M60 black,295,"39,15","9,66","32,52","9,07"
N/A,Professional 295M60 Low Carbon,295,"39,64","9,71","32,66","9,02"
N/A,Professional 295M60 smart,295,"39,15","9,66","32,52","9,07"
N/A,Professional 300M60 black,300,"39,28","9,76","32,72","9,17"
N/A,Professional 300M60 Low Carbon,300,"39,28","9,76","32,72","9,17"
N/A,Professional 300M60 smart,300,"39,28","9,76","32,72","9,17"
N/A,Professional 305M60 black,305,"39,62","9,87","32,94","9,26"
N/A,Professional 305M60 Low Carbon,305,"39,62","9,87","32,94","9,26"
N/A,Professional 305M60 smart,305,"39,62","9,87","32,94","9,26"
N/A,Professional 310M60 black,310,"39,82","9,98","33,16","9,35"
N/A,Professional 310M60 smart,310,"39,82","9,98","33,16","9,35"
N/A,Professional 310MC60 Low Carbon,310,"39,82","9,98","33,16","9,35"
N/A,Professional 315M60 black,315,"40,03","10,09","33,37","9,44"
N/A,Professional 315M60 Low Carbon,315,"40,03","10,09","33,37","9,44"
N/A,Professional 315M60 smart,315,"40,03","10,09","33,37","9,44"
N/A,Professional 60 poly- 255 Wp,255,"37,69","8,99","29,87","8,54"
N/A,Professional 60 poly-250 Wp,250,"37,62","8,91","29,73","8,41"
N/A,Professional 60 poly -245 Wp,245,"37,49","8,83","29,55","8,3"
N/A,Professional 60 poly -260 Wp,260,"37,79","9,07","30,06","8,65"
N/A,Professional G/G 490M108 full black,490,"40,74","15,18","33,73","14,53"
N/A,Professional Glass/Glass 265P60 balance,265,"38,25","9,27","30,8","8,65"
N/A,Professional Glass/Glass 265P60 black,265,"38,25","9,27","30,8","8,65"
N/A,Professional Glass/Glass 265P60 smart,265,"38,25","9,27","30,8","8,65"
N/A,Professional Glass/Glass 270P60 balance,270,"38,42","9,36","31,03","8,74"
N/A,Professional Glass/Glass 270P60 black,270,"38,42","9,36","31,03","8,74"
N/A,Professional Glass/Glass 270P60 smart,270,"38,42","9,36","31,03","8,74"
N/A,Professional Glass/Glass 275P60 balance,275,"38,6","9,44","31,26","8,82"
N/A,Professional Glass/Glass 275P60 black,275,"38,6","9,44","31,26","8,82"
N/A,Professional Glass/Glass 275P60 smart,275,"38,6","9,44","31,26","8,82"
N/A,Professional Glass/Glass 280P60 balance,280,"38,74","9,53","31,47","8,91"
N/A,Professional Glass/Glass 280P60 black,280,"38,74","9,53","31,47","8,91"
N/A,Professional Glass/Glass 280P60 smart,280,"38,74","9,53","31,47","8,91"
N/A,Professional Glass/Glass 285M60 balance,285,"39,33","9,54","32,01","8,9"
N/A,Professional Glass/Glass 285M60 black,285,"39,33","9,54","32,01","8,9"
N/A,Professional Glass/Glass 285M60 smart,285,"39,33","9,54","32,01","8,9"
N/A,Professional Glass/Glass 290M60 balance,290,"39,48","9,63","32,37","8,95"
N/A,Professional Glass/Glass 290M60 black,290,"39,48","9,63","32,37","8,95"
N/A,Professional Glass/Glass 290M60 smart,290,"39,48","9,63","32,37","8,95"
N/A,Professional Glass/Glass 295M60 balance,295,"39,15","9,66","32,52","9,07"
N/A,Professional Glass/Glass 295M60 black,295,"39,15","9,66","32,52","9,07"
N/A,Professional Glass/Glass 295M60 smart,295,"39,15","9,66","32,52","9,07"
N/A,Professional Glass/Glass 300M60 balance,300,"39,28","9,76","32,72","9,17"
N/A,Professional Glass/Glass 300M60 black,300,"39,28","9,76","32,72","9,17"
